start,stop,name,tier
4.0,4.58,﻿silla,words
6.07,6.61,luna,words
8.2,8.86,puerta,words
10.53,11.02,cama,words
12.8,13.46,leche,words
14.83,15.4,ojo,words
16.79,17.45,mesa,words
18.73,19.31,huevo,words
20.98,21.49,perro,words
22.97,23.46,uva,words
24.9,25.52,libro,words
26.71,27.26,mano,words
4.0,4.58,spn,phones
6.07,6.23,l,phones
6.23,6.34,u,phones
6.34,6.42,n,phones
6.42,6.61,a,phones
8.2,8.25,p,phones
8.25,8.37,w,phones
8.37,8.43,e,phones
8.43,8.54,r,phones
8.54,8.65,t̪,phones
8.65,8.86,a,phones
10.53,10.59,k,phones
10.59,10.74,a,phones
10.74,10.85,m,phones
10.85,11.02,a,phones
12.8,12.98,l,phones
12.98,13.1,e,phones
13.1,13.26,tʃ,phones
13.26,13.46,e,phones
14.83,15.01,o,phones
15.01,15.2,x,phones
15.2,15.4,o,phones
16.79,16.98,m,phones
16.98,17.09,e,phones
17.09,17.26,s,phones
17.26,17.45,a,phones
18.73,18.93,w,phones
18.93,19.01,e,phones
19.01,19.09,β,phones
19.09,19.31,o,phones
20.98,21.02,p,phones
21.02,21.16,e,phones
21.16,21.31,r,phones
21.31,21.49,o,phones
22.97,23.22,u,phones
23.22,23.28,β,phones
23.28,23.46,a,phones
24.9,25.04,l,phones
25.04,25.16,i,phones
25.16,25.27,β,phones
25.27,25.29,ɾ,phones
25.29,25.52,o,phones
26.71,26.86,m,phones
26.86,27.0,a,phones
27.0,27.07,n,phones
27.07,27.26,o,phones
